Model_Index,mean_A2,std_A2,var_A2,median_A2,skew_A2,damage_type,severity_level,mean_S11,std_S11,var_S11,median_S11,skew_S11,mean_U2,std_U2,var_U2,median_U2,skew_U2
1,-0.001568521603842,0.3063426788893247,0.0938458369090879,0.0,-1.413433862540103,0,0,1868975.644985416,15121931.789879674,228672821057773.47,157933.745,0.0100746481074028,-0.0001474132436933,0.0007433923059527,5.526321205496941e-07,-0.0002099724806612,1.7230387127847946
2,-0.0015685216452745,0.3063426789838167,0.0938458369669817,0.0,-1.4134338638179558,0,0,1868975.644736482,15121931.7901645,228672821066387.7,157933.745,0.0100746480916191,-0.0001474132436932,0.0007433923059527,5.526321205497091e-07,-0.0002099724806612,1.723038712784517
3,-0.0015642459190533,0.3063597279885867,0.0938562829332408,0.0,-1.4138721549122095,0,0,1868853.908894348,15122468.00114536,228689038445665.3,158352.97999999998,0.0103113153029293,-0.0001472413506471,0.0007433680784258,5.525961000224783e-07,-0.0002098857657983,1.723954074033815
4,-0.0015642459215261,0.3063597279809582,0.0938562829285667,0.0,-1.4138721550055011,0,0,1868853.9086169207,15122468.00120584,228689038447494.53,158352.97999999998,0.0103113153588745,-0.0001472413506471,0.0007433680784258,5.525961000224791e-07,-0.0002098857657983,1.7239540740338166
5,-0.001564247863063,0.3063598896664548,0.0938563819964423,0.0,-1.4138738814690293,0,0,1868853.901396793,15122468.01388763,228689038831054.5,158353.10499999998,0.0103113121950246,-0.0001472413455429,0.0007433681187156,5.525961599227732e-07,-0.0002098952536471,1.723954695639056
6,-0.001564247855485,0.306359889608353,0.0938563819608422,0.0,-1.4138738813425906,0,0,1868853.9017679896,15122468.01357064,228689038821467.12,158353.10499999998,0.0103113121786934,-0.0001472413455082,0.0007433681187877,5.525961600300551e-07,-0.0002098952536471,1.7239546955997815
7,-0.0015685103783073,0.3063419148802573,0.0938453688125028,0.0,-1.413440398513768,0,0,1868975.639604504,15121931.801712878,228672821415655.3,157668.195,0.010074663752098,-0.0001474132471228,0.0007433922713384,5.526320690857576e-07,-0.0002099567791447,1.7230384810958672
8,-0.0015685103993439,0.3063419148713348,0.0938453688070361,0.0,-1.4134403984917878,0,0,1868975.6398583087,15121931.80150059,228672821409234.9,157668.195,0.0100746637373954,-0.0001474132471204,0.0007433922713391,5.52632069086781e-07,-0.0002099567791447,1.7230384810819466
9,-0.001565392194202,0.3063505548800736,0.093850662475329,0.0,-1.4138243341659815,0,0,1868981.470312196,15121878.302120283,228671203384136.28,158355.95,0.010071788958436,-0.0001472233689675,0.0007433266855476,5.525345614472905e-07,-0.0002099728153552,1.7246126076214232
10,-0.0015653921912784,0.3063505548802019,0.0938506624754076,0.0,-1.4138243341927563,0,0,1868981.469846473,15121878.302308075,228671203389815.8,158355.95,0.0100717890452458,-0.0001472233690024,0.0007433266854551,5.525345613096779e-07,-0.0002099728153552,1.7246126074165211
11,-0.0015652785400031,0.3063639465152797,0.0938588677244171,0.0,-1.4139143718678413,0,0,1868964.1765152304,15121885.720121233,228671427732406.44,158355.84999999998,0.0100725576179561,-0.0001471951104691,0.0007433366670462,5.525494005753546e-07,-0.0002098855911754,1.7246710162329597
12,-0.0015652786463471,0.3063639470122215,0.0938588680289072,0.0,-1.413914403665457,0,0,1868964.176207391,15121885.720248803,228671427736264.72,158355.84999999998,0.0100725576612152,-0.0001471951104778,0.00074333666704,5.525494005662838e-07,-0.0002098855911754,1.7246710162943866
13,-0.0015649376780008,0.3063615693828769,0.0938574111947393,0.0,-1.4138781248948713,0,0,1868901.3210638044,15122473.415826747,228689202212386.72,158352.77000000002,0.0103332523149826,-0.000147211875925,0.0007433774797186,5.526100773528696e-07,-0.000209885998629,1.7243255767977943
14,-0.0015649376671101,0.3063615693859102,0.0938574111965978,0.0,-1.4138781249210333,0,0,1868901.3204028043,15122473.416369792,228689202228811.03,158352.77000000002,0.0103332523547507,-0.0001472118759261,0.0007433774797183,5.526100773524568e-07,-0.000209885998629,1.72432557680385
15,-0.0015652778782267,0.3063638986511769,0.0938588383967486,0.0,-1.4139155956196934,0,0,1868964.1759660176,15121885.727393605,228671427952350.4,158355.885,0.0100725635179686,-0.0001471951100207,0.0007433366740406,5.525494109738283e-07,-0.0002098890254274,1.724671134793908
